date,pm25,pm10,o3,no2,so2,co
16/07/2025,13,34,54,1,4,11
15/07/2025,45,56,24,2,3,6
14/07/2025,11,18,54,9,3,5
13/07/2025,29,12,34,8,7,8
12/07/2025,59,0,33,0,3,2
11/07/2025,71,0,31,0,4,4
10/07/2025,49,0,32,0,7,8
09/07/2025,55,0,25,0,4,5
08/07/2025,57,0,39,0,3,4
07/07/2025,43,0,38,0,5,6
06/07/2025,57,0,25,0,3,2
05/07/2025,56,0,41,0,4,6
04/07/2025,21,11,34,5,0,3
03/07/2025,13,16,0,2,9,4
02/07/2025,4,25,23,0,8,1
01/07/2025,32,0,0,0,0,0
30/06/2025,26,0,34,9,3,5
29/06/2025,0,0,30,7,2,3
21/06/2025,29,12,0,0,0,0
20/06/2025,24,15,30,0,3,5
19/06/2025,24,23,35,0,2,4
18/06/2025,38,42,34,0,2,3
17/06/2025,42,12,29,0,4,6
16/06/2025,43,19,29,45,7,5
15/06/2025,41,34,32,12,8,4
14/06/2025,46,21,25,0,6,4
13/06/2025,40,29,27,34,6,5
12/06/2025,51,38,26,0,12,5
11/06/2025,49,21,41,0,5,5
10/06/2025,46,22,28,0,5,6
09/06/2025,37,67,29,0,2,4
08/06/2025,25,45,28,0,6,4
07/06/2025,48,44,30,0,3,3
06/06/2025,56,33,22,0,9,7
05/06/2025,60,23,29,0,6,5
04/06/2025,49,12,22,0,7,6
03/06/2025,28,56,25,0,8,8
02/06/2025,28,55,31,0,6,4
01/06/2025,42,34,28,0,5,4
31/05/2025,42,23,23,0,5,5
30/05/2025,29,76,26,0,6,5
29/05/2025,35,23,29,0,7,5
28/05/2025,42,34,24,0,7,5
27/05/2025,42,12,30,0,6,4
26/05/2025,39,34,23,0,4,5
25/05/2025,33,12,30,0,1,4
24/05/2025,30,31,28,0,1,4
23/05/2025,45,32,29,0,2,3
22/05/2025,40,39,27,0,4,6
21/05/2025,61,32,27,0,4,7
20/05/2025,58,34,32,0,5,11
19/05/2025,29,123,22,0,4,11
18/05/2025,31,45,27,0,1,6
17/05/2025,41,12,21,0,2,7
16/05/2025,54,3,11,0,3,8
15/05/2025,52,4,19,0,3,7
14/05/2025,41,12,35,0,3,6
13/05/2025,40,0,29,0,4,6
12/05/2025,21,0,28,0,5,7
11/05/2025,28,0,29,0,3,3
10/05/2025,56,0,31,0,5,6
09/05/2025,55,0,38,0,8,10
08/05/2025,54,0,19,0,5,10
07/05/2025,64,0,37,0,2,8
06/05/2025,42,0,27,0,3,10
05/05/2025,43,0,18,0,1,7
04/05/2025,48,0,40,0,0,6
03/05/2025,53,0,28,0,1,6
02/05/2025,51,0,40,0,1,8
01/05/2025,47,0,30,0,1,6
30/04/2025,67,0,28,0,1,7
29/04/2025,48,0,24,0,8,9
28/04/2025,33,0,12,0,7,8
27/04/2025,57,0,43,0,4,5
26/04/2025,62,0,29,0,5,8
25/04/2025,53,0,34,0,6,9
24/04/2025,48,0,23,0,5,8
23/04/2025,43,0,44,0,4,5
22/04/2025,46,0,47,0,3,5
21/04/2025,35,0,39,0,4,5
20/04/2025,41,0,42,0, ,3
19/04/2025,30,0,57,0,2,4
18/04/2025,49,0,39,0,3,4
17/04/2025,50,0,36,0,5,5
16/04/2025,40,0,46,0,2,6
15/04/2025,43,0,43,0,2,5
14/04/2025,47,0,42,0,2,6
13/04/2025,55,0,38,0,1,6
12/04/2025,47,0,32,0,2,9
11/04/2025,34,0,7,0,2,9
10/04/2025, ,0,21,0,1,6
09/04/2025,7,0,37,0,2,6
08/04/2025,43,0,22,0,1,9
07/04/2025,35,0,27,0,1,9
06/04/2025,54,0,14,0,1,7
05/04/2025,57,0,39,0,2,9
04/04/2025,58,0,29,0,1,11
03/04/2025,40,0,36,0,1,8
02/04/2025,64,0,48,0,2,3
01/04/2025,41,0,35,0,1,6
31/03/2025,31,0,24,0,2,4
30/03/2025,51,0,26,0,2,3
29/03/2025,63,0,41,0,1,4
28/03/2025,39,0,27,0,2,5
27/03/2025,51,0,7,0,3,6
26/03/2025,59,0,33,0,4,6
25/03/2025,46,0,35,0,5,7
24/03/2025,39,0,41,0,3,6
23/03/2025,46,0,45,0,3,6
22/03/2025,54,0,28,0,3,8
21/03/2025,52,0,33,0,4,9
20/03/2025,64,0,33,0,2,7
19/03/2025,52,0,35,0,1,10
18/03/2025,38,0,30,0,6,7
17/03/2025,46,0,26,0,6,4
16/03/2025,38,0,49,0,5,4
15/03/2025,56,0,42,0,5,5
14/03/2025,57,0,23,0,7,8
13/03/2025,69,0,18,0,2,7
12/03/2025,52,0,34,0,10,10
11/03/2025,44,0,15,0,10,10
10/03/2025,33,0,38,0,7,7
09/03/2025,40,0,28,0,5,7
08/03/2025,42,0,44,0,6,6
07/03/2025,33,0,38,0,7,9
06/03/2025,37,0,33,0,4,6
05/03/2025,45,0,21,0,4,8
04/03/2025,39,0,40,0,4,6
03/03/2025,31,0,35,0,4,8
02/03/2025,33,0,34,0,2,5
01/03/2025,57,0,29,0,3,6
28/02/2025,64,0,33,0,5,10
27/02/2025,36,0,38,0,4,9
26/02/2025,44,0,17,0,1,5
25/02/2025,39,0,27,0,1,6
24/02/2025, ,0,21,0, ,7
22/02/2025,65,0, ,0, , 
21/02/2025,64,0,33,0,6,6
20/02/2025,42,0,21,0,7,10
19/02/2025,36,0,45,0,2,4
18/02/2025,35,0,11,0,1,6
17/02/2025,31,0,14,0, ,5
16/02/2025,21,0,21,0, ,4
15/02/2025, ,0,19,0, ,6
14/02/2025,32,0, ,0, , 
13/02/2025,51,0,19,0,7,4
12/02/2025,45,0,21,0,5,3
11/02/2025,22,0,13,0, ,6
10/02/2025,30,0,22,0, ,4
09/02/2025,38,0,24,0, ,3
08/02/2025,74,0,26,0, ,2
07/02/2025,62,0,25,0, ,4
06/02/2025,49,0,23,0,9,8
05/02/2025,59,0,34,0,8,6
04/02/2025,49,0,27,0,11,7
03/02/2025, ,0,29,0,7,5
01/02/2025,42,0, ,0, , 
31/01/2025,38,0,3,0,11,11
30/01/2025,37,0,31,0,8,6
