date,pm25,pm10,o3,no2,so2,co
16/07/2025,43,34,54,1,11,11
15/07/2025,45,56,24,2,3,2
14/07/2025,11,18,54,9,3,5
13/07/2025,29,12,34,8,7,8
12/07/2025,53,43,62,29,4,4
11/07/2025,54,37,74,26,2,4
10/07/2025,44,33,56,34,1,3
09/07/2025,67,30,48,21,1,3
08/07/2025,69,42,59,0,3,4
07/07/2025,54,43,63,0,2,4
06/07/2025,47,40,60,12,2,4
05/07/2025,13,21,23,0,0,2
04/07/2025,21,22,15,0,16,0
03/07/2025,23,13,23,0,22,6
02/07/2025,67,11,16,12,19,0
01/07/2025,38,0,0,0,0,0
30/06/2025,44,36,34,20,4,5
29/06/2025,0,65,26,17,3,1
21/06/2025,27,34,56,0,0,0
20/06/2025,29,51,25,0,4,4
19/06/2025,37,20,30,0,3,1
18/06/2025,45,37,36,0,4,5
17/06/2025,35,23,16,0,4,6
16/06/2025,38,12,31,0,4,3
15/06/2025,37,23,27,0,4,2
14/06/2025,45,19,26,0,3,2
13/06/2025,38,23,22,0,3,3
12/06/2025,52,19,25,0,3,3
11/06/2025,51,26,37,0,3,4
10/06/2025,43,20,24,0,3,4
09/06/2025,38,28,28,0,3,3
08/06/2025,34,26,26,0,3,2
07/06/2025,42,29,29,0,3,4
06/06/2025,48,28,19,0,4,5
05/06/2025,47,23,26,0,3,3
04/06/2025,47,24,22,0,4,5
03/06/2025,38,34,24,0,3,6
02/06/2025,35,31,30,0,3,6
01/06/2025,32,25,26,0,3,4
31/05/2025,47,26,24,0,2,4
30/05/2025,43,33,27,0,3,6
29/05/2025,51,30,23,0,4,7
28/05/2025,46,33,22,0,4,6
27/05/2025,33,24,30,0,3,4
26/05/2025,37,18,24,0,3,2
25/05/2025,37,18,27,0,3,3
24/05/2025,28,25,27,0,3,4
23/05/2025,48,23,31,0,3,3
22/05/2025,45,28,27,0,3,5
21/05/2025,61,24,25,0,3,5
20/05/2025,60,31,30,0,3,5
19/05/2025,26,28,20,0,4,9
18/05/2025,35,12,22,0,2,3
17/05/2025,31,14,16,0,2,4
16/05/2025,39,20,20,0,2,2
15/05/2025,42,21,20,0,3,2
14/05/2025,41,24,35,0,3,2
13/05/2025,37,21,26,0,3,5
12/05/2025,25,27,27,0,3,7
