date,pm25,pm10,o3,no2,so2,co
12/07/2025,70,0,13,0,3,12
11/07/2025,36,0,40,0,2,13
10/07/2025,65,0,31,0,1,9
09/07/2025,58,0,48,0,1,9
08/07/2025,44,0,36,0,1,10
07/07/2025,40,0,30,0,1,7
06/07/2025,12,0,31,0,1,6
05/07/2025,11,0,38,0,2,6
04/07/2025,12,0,44,0,3,6
03/07/2025,47,0,39,0,4,6
02/07/2025,11,11,34,12,6,7
01/07/2025,34,2,56,34,7,5
30/06/2025,23,3,34,23,5,3
29/06/2025,34,1,12,34,2,5
21/06/2025,32,7,65,22,3,9
20/06/2025,21,8,34,33,8,6
19/06/2025,20,3,0,0,0,0
18/06/2025,34,0,0,0,0,4
17/06/2025,46,0,36,0,1,5
16/06/2025,58,0,35,0,2,7
15/06/2025,54,0,35,0,2,5
14/06/2025,54,0,26,0,2,5
13/06/2025,45,0,31,0,2,6
12/06/2025,59,0,29,0,2,5
11/06/2025,47,0,50,0,2,6
10/06/2025,52,0,30,0,2,4
09/06/2025,41,0,30,0,2,5
08/06/2025,38,0,30,0,2,4
07/06/2025,40,0,34,0,1,3
06/06/2025,52,0,23,0,2,4
05/06/2025,65,0,23,0,2,5
04/06/2025,49,0,23,0,2,7
03/06/2025,27,0,23,0,2,5
02/06/2025,41,0,34,0,1,2
01/06/2025,49,0,26,0,1,3
31/05/2025,44,0,20,0,1,5
30/05/2025,30,0,27,0,1,5
29/05/2025,45,0,27,0,1,4
28/05/2025,61,0,21,0,2,6
27/05/2025,48,0,34,0,2,8
26/05/2025,31,0,21,0,1,7
25/05/2025,36,0,36,0,1,4
24/05/2025,35,0,26,0,1,4
23/05/2025,34,0,31,0,1,4
22/05/2025,44,0,29,0,1,5
21/05/2025,54,0,28,0,1,6
20/05/2025,69,0,37,0,2,7
19/05/2025,22,0,27,0,2,12
18/05/2025,44,0,24,0,1,6
17/05/2025,52,0,22,0,1,7
16/05/2025,58,0,11,0,1,6
15/05/2025,59,0,19,0,2,6
14/05/2025,39,0,34,0,2,5
13/05/2025,31,0,30,0,1,4
12/05/2025,24,0,29,0,1,3
11/05/2025,27,0,28,0,1,3
10/05/2025,43,0,32,0,1,3
09/05/2025,55,0,34,0,1,4
08/05/2025,65,0,25,0,1,7
07/05/2025,62,0,44,0,2,7
06/05/2025,22,0,27,0,2,9
05/05/2025,46,0,22,0,2,11
04/05/2025,50,0,42,0,1,7
03/05/2025,63,0,24,0,1,8
02/05/2025,53,0,53,0,2,10
01/05/2025,55,0,31,0,2,8
30/04/2025,65,0,29,0,2,8
29/04/2025,54,0,25,0,2,11
28/04/2025,47,0,17,0,2,8
27/04/2025,64,0,43,0,1,6
26/04/2025,71,0,39,0,2,9
25/04/2025,56,0,36,0,2,10
24/04/2025,56,0,38,0,2,8
23/04/2025,55,0,47,0,1,7
22/04/2025,51,0,43,0,1,7
21/04/2025,50,0,41,0,1,6
20/04/2025,44,0,40,0,1,5
19/04/2025,35,0,56,0,1,4
18/04/2025,48,0,40,0,1,4
17/04/2025,57,0,39,0,1,6
16/04/2025,44,0,53,0,2,6
15/04/2025,48,0,45,0,1,4
14/04/2025,51,0,47,0,2,5
13/04/2025,61,0,38,0,2,7
12/04/2025,64,0,48,0,2,8
11/04/2025,49,0,14,0,2,12
10/04/2025,45,0,19,0,1,7
09/04/2025,52,0,33,0,2,7
08/04/2025,49,0,25,0,2,7
07/04/2025,50,0,24,0,2,7
06/04/2025,55,0,16,0,1,8
05/04/2025,66,0,32,0,1,7
04/04/2025,62,0,25,0,2,8
03/04/2025,46,0,42,0,2,7
02/04/2025,67,0,42,0,1,6
01/04/2025,42,0,36,0,2,11
31/03/2025,39,0,39,0,1,7
30/03/2025,52,0,28,0,1,8
29/03/2025,68,0,55,0,2,7
28/03/2025,56,0,20,0,4,9
27/03/2025,59,0,26,0,1,10
26/03/2025,60,0,40,0,2,9
25/03/2025,61,0,35,0,2,8
24/03/2025,82,0,39,0,2,9
23/03/2025,47,0,42,0,2,9
22/03/2025,47,0,23,0,1,7
