date,pm25,pm10,o3,no2,so2,co
16/07/2025,33,34,54,1,11,11
15/07/2025,45,56,24,2,3,2
14/07/2025,11,18,54,9,3,5
13/07/2025,29,12,34,8,7,8
12/07/2025,22,13,14,7,8,9
11/07/2025,45,0,34,0,5,3
10/07/2025,49,0,48,0,3,3
09/07/2025,40,0,65,0,6,5
08/07/2025,24,0,32,0,4,4
07/07/2025,43,0,35,0,3,4
06/07/2025,52,0,44,0,4,5
05/07/2025,58,0,39,0,4,4
04/07/2025,36,0,38,0,5,5
03/07/2025,21,12,45,7,4,6
02/07/2025,15,34,26,8,2,8
01/07/2025,0,0,28,0,2,0
30/06/2025,12,45,21,15,6,3
29/06/2025,45,67,0,13,2,2
21/06/2025,34,43,22,45,0,0
20/06/2025,23,123,26,34,15,5
19/06/2025,15,45,26,12,4,4
18/06/2025,34,23,22,0,4,4
17/06/2025,45,5,19,7,5,3
16/06/2025,37,7,26,23,9,2
15/06/2025,44,12,20,44,2,3
14/06/2025,10,56,26,13,6,2
13/06/2025,9,56,14,19,7,2
12/06/2025,8,45,36,25,12,2
11/06/2025,7,34,23,4,4,3
10/06/2025,6,12,22,23,6,3
09/06/2025,45,28,21,34,3,2
08/06/2025,67,29,25,2,6,2
07/06/2025,34,31,16,3,4,5
06/06/2025,5,44,26,4,6,5
05/06/2025,42,47,21,6,2,2
04/06/2025,31,34,24,8,3,2
03/06/2025,23,56,24,5,4,3
02/06/2025,29,34,25,8,2,2
01/06/2025,31,12,20,20,1,2
31/05/2025,34,33,24,21,1,2
30/05/2025,23,56,20,22,4,3
29/05/2025,24,49,20,3,8,5
28/05/2025,39,50,30,6,7,3
27/05/2025,40,67,25,3,3,2
26/05/2025,12,56,26,4,1,2
25/05/2025,34,45,22,2,3,2
24/05/2025,5,34,20,5,4,2
23/05/2025,3,65,21,2,5,4
22/05/2025,16,34,20,23,6,4
21/05/2025,78,21,28,25,5,4
20/05/2025,56,41,19,28,5,7
19/05/2025,45,0,26,13,5,6
18/05/2025,26,0,22,18, ,2
17/05/2025,45,0,18,19,1,3
16/05/2025,6,0,20,21,1,2
15/05/2025,78,0,32,24,1,2
14/05/2025,56,0,22,25,2,2
13/05/2025,0,0,19,0,9,2
12/05/2025,0,0,21,0,8,2
11/05/2025,0,0,25,0,6,3
10/05/2025,0,0,27,0,4,5
09/05/2025,0,0,19,0,6,5
08/05/2025,0,0,36,0,5,6
