date,pm25,pm10,o3,no2,so2,co
12/07/2025,33,0,39,0,1,11
11/07/2025,24,0,42,0,1,5
10/07/2025,29,0,38,0,0,4
09/07/2025,23,36,12,11,6,1
08/07/2025,21,3,2,2,3,11
07/07/2025,56,2,4,0,2,9
06/07/2025,21,3,4,14,2,8
05/07/2025,12,21,3,0,1,8
04/07/2025,23,1,0,11,1,6
03/07/2025,32,3,4,23,2,5
02/07/2025,45,3,0,0,0,0
01/07/2025,34,0,0,0,0,0
30/06/2025,28,0,34,15,1,6
29/06/2025,0,0,31,9,1,6
21/06/2025,25,0,0,0,0,0
20/06/2025,20,0,32,0,3,11
19/06/2025,20,0,30,0,2,9
18/06/2025,34,0,42,0,2,8
17/06/2025,20,0,28,0,1,8
16/06/2025,27,0,36,0,1,6
15/06/2025,25,0,34,0,2,5
14/06/2025,21,0,31,0,1,5
13/06/2025,20,0,33,0,1,5
12/06/2025,32,0,33,0,1,4
11/06/2025,32,0,44,0,2,4
10/06/2025,36,0,34,0,1,4
09/06/2025,32,0,26,0,1,2
08/06/2025,30,0,29,0,1,2
07/06/2025,40,0,29,0,2,4
06/06/2025,26,0,20,0,2,5
05/06/2025,29,0,36,0,0,3
04/06/2025,28,0,30,0,0,3
03/06/2025,30,0,32,0,1,10
02/06/2025,22,0,26,0,1,10
01/06/2025,23,0,31,0,1,8
31/05/2025,32,0,34,0,0,5
30/05/2025,34,0,33,0,2,7
29/05/2025,39,0,27,0,2,7
28/05/2025,26,0,24,0,2,6
27/05/2025,17,0,39,0,0,6
26/05/2025,24,0,31,0,0,7
25/05/2025,31,0,30,0,1,7
24/05/2025,32,0,28,0,1,7
23/05/2025,36,0,27,0,1,7
22/05/2025,34,0,24,0,1,6
21/05/2025,38,0,33,0,2,6
20/05/2025,34,0,37,0,3,3
19/05/2025,27,0,23,0,2,6
18/05/2025,17,0,39,0,0,3
17/05/2025,22,0,31,0,0,4
16/05/2025,21,0,25,0,0,6
15/05/2025,30,0,28,0,0,10
14/05/2025,33,0,40,0,0,9
13/05/2025,24,0,27,0,3,7
12/05/2025,18,0,29,0,1,6
11/05/2025,33,0,27,0,1,7
10/05/2025,45,0,28,0,2,8
09/05/2025,49,0,40,0,2,8
08/05/2025,33,0,22,0,2,6
07/05/2025,41,0,46,0,1,3
06/05/2025,29,0,31,0,6,4
05/05/2025,29,0,24,0,1,129
04/05/2025,31,0,41,0,2,500
03/05/2025,33,0,39,0,1,105
02/05/2025,24,0,42,0,1,5
01/05/2025,29,0,38,0,0,4
30/04/2025,43,0,36,0,0,4
29/04/2025,30,0,33,0,1,6
28/04/2025,20,0,21,0,2,8
27/04/2025,43,0,44,0,2,3
26/04/2025,42,0,41,0,3,7
25/04/2025,31,0,40,0,3,9
24/04/2025,22,0,39,0,2,7
23/04/2025,28,0,53,0,2,4
22/04/2025,33,0,53,0,2,4
21/04/2025,24,0,46,0,2,7
20/04/2025,33,0,40,0,2,6
19/04/2025,31,0,55,0,3,7
18/04/2025,32,0,36,0,2,8
17/04/2025,44,0,33,0,2,8
16/04/2025,39,0,52,0,2,7
15/04/2025,37,0,39,0,3,11
14/04/2025,33,0,43,0,3,10
13/04/2025,34,0,41,0,2,9
12/04/2025,35,0,43,0,3,11
11/04/2025,21,0,23,0,2,12
10/04/2025,40,0,32,0,2,5
09/04/2025,32,0,42,0,3,7
08/04/2025,30,0,29,0,2,10
07/04/2025,19,0,33,0,2,9
06/04/2025,41,0,22,0,2,3
05/04/2025,39,0,42,0,2,7
04/04/2025,28,0,39,0,2,8
03/04/2025,29,0,48,0,2,5
02/04/2025,34,0,54,0,1,4
01/04/2025,23,0,48,0,2,5
31/03/2025,21,0,48,0,1,5
30/03/2025,30,0,34,0,2,4
29/03/2025,33,0,46,0,2,5
28/03/2025,27,0,36,0,2,4
27/03/2025,27,0,34,0,2,4
26/03/2025,40,0,39,0,2,4
25/03/2025,36,0,42,0,4,8
24/03/2025,32,0,43,0,2,7
23/03/2025,32,0,46,0,2,6
22/03/2025,37,0,30,0,2,5
21/03/2025,26,0,41,0,3,6
20/03/2025,38,0,41,0,2,5
19/03/2025,31,0,54,0,3,7
18/03/2025,21,0,42,0,2,6
17/03/2025,23,0,32,0,1,4
16/03/2025,18,0,53,0,2,4
15/03/2025,43,0,49,0,2,3
14/03/2025,37,0,36,0,4,9
13/03/2025,41,0,34,0,2,9
12/03/2025,36,0,43,0,3,8
11/03/2025,25,0,30,0,3,9
10/03/2025,24,0,47,0,2,4
09/03/2025,28,0,38,0,2,4
08/03/2025,28,0,45,0,2,3
07/03/2025,21,0,49,0,2,7
06/03/2025,23,0,39,0,2,9
05/03/2025,39,0,33,0,2,9
04/03/2025,21,0,48,0,1,8
03/03/2025,20,0,54,0,1,7
02/03/2025,18,0,45,0,1,6
01/03/2025,39,0,41,0,1,6
28/02/2025,42,0,45,0,2,7
27/02/2025,49,0,41,0,2,9
26/02/2025,32,0,25,0,2,6
25/02/2025,15,0,37,0,2,5
24/02/2025,0,0,41,0,1,4
22/02/2025,27,0,0,0,0,0
21/02/2025,23,0,34,0,1,5
20/02/2025,25,0,32,0,1,4
19/02/2025,18,0,37,0,1,3
18/02/2025,21,0,23,0,1,3
17/02/2025,13,0,23,0,1,4
16/02/2025,16,0,34,0,1,2
15/02/2025,0,0,36,0,1,2
14/02/2025,9,0,0,0, ,0
13/02/2025,28,0,0,0,1,7
12/02/2025,18,0,0,0,2,8
11/02/2025,22,0,0,0,1,10
10/02/2025,17,0,0,0,1,8
09/02/2025,30,0,0,0,1,6
08/02/2025,43,0,0,0,2,6
07/02/2025,32,0,0,0,7,8
06/02/2025,37,0,0,0,9,7
05/02/2025,23,0,18,0,4,6
04/02/2025,33,0,40,0,1,4
03/02/2025,0,0,30,0,4,6
01/02/2025,65,0,0,0,0,0
31/01/2025,37,0,57,0,22,7
30/01/2025,32,0,32,0,6,8
29/01/2025,29,0,37,0,4,5
28/01/2025,32,0,38,0,3,5
27/01/2025,36,0,34,0,2,7
26/01/2025,43,0,36,0,4,6
25/01/2025,53,0,42,0,7,7
24/01/2025,50,0,44,0,8,8
23/01/2025,40,0,72,0,10,8
22/01/2025,45,0,59,0,5,6
21/01/2025,32,0,70,0,7,5
20/01/2025,21,0,50,0,3,6
19/01/2025,31,0,58,0,3,3
18/01/2025,24,0,50,0,7,3
17/01/2025,22,0,40,0,5,4
16/01/2025,31,0,36,0,3,2
15/01/2025,36,0,50,0,6,2
14/01/2025,35,0,45,0,6,5
13/01/2025,38,0,43,0,4,8
12/01/2025,45,0,69,0,4,8
11/01/2025,32,0,56,0,4,8
10/01/2025,26,0,36,0,2,7
09/01/2025,35,0,39,0,3,7
08/01/2025,44,0,44,0,2,8
07/01/2025,29,0,42,0,5,8
06/01/2025,15,0,43,0,3,5
05/01/2025,17,0,33,0, ,4
04/01/2025,18,0,30,0, ,4
03/01/2025,20,0,24,0,1,3
02/01/2025,27,0,32,0, ,2
01/01/2025, ,0,33,0,1,2
30/12/2024,11,0, ,0, , 
29/12/2024,23,0,43,0,2,6
